E_EXPACS_binning,E_ICRP116_binning,E_ICRP74_binning,E_TRS403_binning,E_AP_ICRP116,E_PA_ICRP116,E_LLAT_ICRP116,E_RLAT_ICRP116,E_ROT_ICRP116,E_ISO_ICRP116,E_ISO_ICRP74,H10_ICRP74,E_ISO_TRS403,H10_TRS403
1.000E-09,1.00E-09,1.00E-09,1.00E-09,3.09,1.85,1.04,0.89,1.7,1.29,2.40,6.60,2.43,6.75E+00
1.260E-09,1.00E-08,1.00E-08,2.15E-09,3.55,2.11,1.15,0.98,2.03,1.56,2.89,9.00,2.53,7.29E+00
1.580E-09,2.50E-08,2.53E-08,4.64E-09,4,2.44,1.32,1.12,2.31,1.76,3.30,10.60,2.74,8.29E+00
2.000E-09,1.00E-07,1.00E-07,1.00E-08,5.2,3.25,1.7,1.42,2.98,2.26,4.13,12.90,3.06,9.78E+00
2.510E-09,2.00E-07,2.00E-07,2.15E-08,5.87,3.72,1.94,1.63,3.36,2.54,4.59,13.50,3.35,1.06E+01
3.160E-09,5.00E-07,5.00E-07,4.64E-08,6.59,4.33,2.21,1.86,3.86,2.92,5.20,13.60,3.95,1.27E+01
3.980E-09,1.00E-06,1.00E-06,1.00E-07,7.03,4.73,2.4,2.02,4.17,3.15,5.63,13.30,4.41,1.34E+01
5.010E-09,2.00E-06,2.00E-06,2.15E-07,7.39,5.02,2.52,2.11,4.4,3.32,5.96,12.90,4.66,1.26E+01
6.310E-09,5.00E-06,5.00E-06,4.64E-07,7.71,5.3,2.64,2.21,4.59,3.47,6.28,12.00,5.28,1.31E+01
7.940E-09,1.00E-05,1.00E-05,1.00E-06,7.82,5.44,2.65,2.24,4.68,3.52,6.44,11.30,5.72,1.29E+01
1.000E-08,2.00E-05,2.00E-05,2.15E-06,7.84,5.51,2.68,2.26,4.72,3.54,6.51,10.60,5.89,1.26E+01
1.260E-08,5.00E-05,5.00E-05,4.64E-06,7.82,5.55,2.66,2.24,4.73,3.55,6.51,9.90,6.24,1.16E+01
1.580E-08,1.00E-04,1.00E-04,1.00E-05,7.79,5.57,2.65,2.23,4.72,3.54,6.45,9.40,6.41,1.10E+01
2.000E-08,2.00E-04,2.00E-04,2.15E-05,7.73,5.59,2.66,2.24,4.67,3.52,6.32,8.90,6.39,1.04E+01
